							Insulin=0.01nM	(Dataset 1 of 3)							Insulin=1nM	(Dataset 1 of 3)							Insulin=100nM	(Dataset 1 of 3)							Insulin=0.01nM	(Dataset 2 of 3)							Insulin=1nM	(Dataset 2 of 3)							Insulin=100nM	(Dataset 2 of 3)							Insulin=0.01nM	(Dataset 3 of 3)							Insulin=1nM	(Dataset 3 of 3)							Insulin=100nM	(Dataset 3 of 3)							
241	Isethionate	2-Hydroxyethanesulfonate	C05123				0.016	N.D.	N.D.	N.D.	0.015	N.D.	0.015	N.D.	N.D.	N.D.	0.013	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.012	N.D.	0.1	0.031	N.D.	N.D.	0.038	N.D.	N.D.	0.027	0.027	N.D.	N.D.	0.061	N.D.	0.025	0.017	0.067	N.D.	N.D.	N.D.	0.1	N.D.	N.D.	N.D.	0.077	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	N.D.	N.D.	0.57059433
242	4-(beta-Acetylaminoethyl)imidazole	4-(beta-Acetylaminoethyl)imidazole	C05135				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.02	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
243	5'-Deoxyadenosine	5'-Deoxyadenosine	C05198				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.015	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
244	Phenethylamine	Phenethylamine	C05332				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.02	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
245	Homovanillate	Homovanillate	C05582				0.28	0.26	0.18	N.D.	N.D.	N.D.	N.D.	N.D.	0.24	0.25	0.19	0.23	N.D.	N.D.	N.D.	N.D.	0.13	N.D.	0.22	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.16	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.15	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	-0.373187805
246	3-Phenylpropionate	Phenylpropanoate	C05629				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.47	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
247	5-Methoxyindoleacetate	5-Methoxyindoleacetate	C05660				2.3	2.3	2.9	3.1	2.3	2.5	2.3	2.8	2.7	2.6	3	2.7	3.9	2.3	2.8	2.9	3	2.9	3.2	2.1	2.6	2.4	2.5	2.2	3.1	3.1	2.8	2.8	2.5	2.4	2.6	4.9	2.5	3.1	2.7	3.8	2.7	2.8	3.2	3.5	3	3.2	2.3	2.6	3.2	3.5	2.6	2.9	2.4	2.3	2.5	2.5	2.8	2.6	2.5	3.2	2.7	2.5	3	2.2	2.5	1.9	1.9	2	2	2.1	2.1	2	2.4	2	1.9	2.6	-0.647855418
248	Phosphonoacetate	Phosphonoacetate	C05682				N.D.	N.D.	0.015	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.032	N.D.	N.D.	N.D.	0.06	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.42	0.42	0.44	0.44	0.4	0.32	0.26	0.27	0.28	0.38	0.5	0.56	0.65	0.44	0.35	0.47	0.44	0.66	0.81	0.65	0.81	0.74	0.53	0.45	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.02	N.D.	0.02	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.920135272
249	Isopropanolamine	1-Aminopropan-2-ol	C05771	C03194			N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.1	N.D.	0.024	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
250	"3-Aminopropane-1,2-diol"	"3-Aminopropane-1,2-diol"	C06057				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.068	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
251	Adipate	Adipate	C06104				0.066	0.054	0.065	0.064	0.077	0.062	0.083	0.13	0.082	0.054	0.054	0.055	0.06	0.061	0.069	0.055	0.066	0.055	0.059	0.058	0.059	0.09	0.09	0.062	0.066	N.D.	N.D.	0.072	0.09	0.086	0.091	0.077	0.077	0.071	0.086	0.072	0.11	0.085	0.076	0.084	0.078	0.072	0.075	0.062	0.078	0.088	0.06	0.063	0.05	0.057	0.081	0.083	0.079	0.069	0.055	0.064	0.072	0.062	0.059	0.07	0.046	0.067	0.064	0.18	0.065	0.073	0.098	0.063	0.067	0.067	0.058	0.054	-0.515158977
252	Terephthalate	Terephthalate	C06337				0.027	0.042	0.024	0.026	0.042	0.025	0.025	0.039	0.04	0.027	0.028	0.025	0.028	0.02	0.031	0.04	0.037	0.023	0.027	0.026	0.027	0.037	0.037	0.026	0.06	0.069	0.05	0.037	0.046	0.04	0.037	N.D.	0.053	0.04	0.038	0.036	0.053	0.036	0.039	N.D.	0.033	0.041	0.037	0.038	0.041	0.044	N.D.	N.D.	0.019	0.021	0.034	0.038	0.035	0.033	0.036	0.034	0.043	0.029	0.029	0.036	0.045	0.044	0.047	0.04	0.018	0.045	0.034	0.038	0.039	0.044	0.041	0.041	0.364236552
253	Octanoate	Octanoic acid	C06423				0.057	N.D.	0.057	0.043	0.044	N.D.	N.D.	0.024	0.051	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.064	N.D.	N.D.	0.067	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.054	0.054	0.064	0.051	0.056	0.064	0.069	0.07	0.05	0.064	N.D.	0.062	0.065	0.073	0.052	0.052	N.D.	0.06	0.054	N.D.	0.042	0.062	0.064	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.046	N.D.	N.D.	0.078	0.048	N.D.	N.D.	0.044	0.059	0.08	N.D.	0.062	0.062	N.D.	0.031	0.065	N.D.	0.298818255
254	Diethanolamine	Diethanolamine	C06772				0.13	0.19	0.17	0.11	0.15	0.1	0.13	0.24	0.15	0.14	0.21	0.17	0.16	0.16	0.28	0.16	0.13	0.2	0.23	0.13	0.16	0.12	0.23	0.15	0.19	0.3	0.16	0.2	0.18	0.24	0.13	0.11	0.17	0.41	0.22	0.19	0.15	0.12	0.13	0.18	0.11	0.15	0.16	0.22	0.26	0.28	0.11	0.12	0.14	0.34	0.18	0.11	0.13	0.16	0.17	0.17	0.13	0.2	0.16	0.17	0.23	0.28	0.14	0.19	0.14	0.14	0.16	0.11	0.23	0.18	0.14	0.16	0.499300397
255	Metformin	Metformin	C07151				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.016	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
256	Azelate	Azelaic acid	C08261				0.023	0.016	0.022	0.02	0.03	0.02	0.023	0.031	0.03	0.016	0.017	0.025	0.043	0.017	0.016	0.022	0.02	0.019	0.026	0.013	0.026	0.026	0.025	0.017	0.039	0.033	0.03	0.024	0.023	0.021	0.028	0.034	0.037	0.019	0.024	0.019	0.029	0.018	0.02	0.023	0.023	0.026	0.022	0.019	0.024	0.024	0.018	0.014	0.017	0.016	0.021	0.029	0.026	0.021	0.025	0.018	0.02	0.017	0.02	0.019	0.017	0.016	0.019	0.042	0.017	0.019	0.031	0.037	0.016	0.018	0.016	0.016	-0.89456595
257	3-Methylbutanoate	3-Methylbutanoic acid	C08262				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.045	N.D.	0.083	N.D.	0.081	N.D.	0.088	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.085	0.054	0.1	N.D.	N.D.	N.D.	N.D.	N.D.	0.083	0.066	N.D.	0.11	0.071	0.087	0.067	N.D.	0.059	0.075	N.D.	N.D.	0.11	0.089	0.073	0.1	1.050837755
258	Sebacate	Sebacic acid	C08277				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0075	0.01	0.0083	0.0071	N.D.	0.009	0.01	0.0075	0.0063	0.0065	0.0075	0.0061	0.0083	0.0063	0.0082	0.018	0.0094	0.0076	0.018	0.016	0.015	0.011	0.0082	0.011	0.017	0.012	0.018	0.0085	0.008	0.0099	0.011	0.0081	0.011	0.0093	0.012	0.0094	0.0092	0.01	0.0074	0.012	0.011	0.0083	N.D.	0.0085	0.0072	0.01	0.0069	0.0076	0.0074	0.0084	0.0063	0.0067	0.0078	0.0046	0.012	0.0073	N.D.	0.0075	N.D.	0.0065	0.0087	0.0082	0.006	N.D.	0.0043	0.0061	-0.458885042
259	Tiglate	Tiglic acid	C08279				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.057	N.D.	N.D.	N.D.	N.D.	N.D.	0.044	N.D.	0.042	N.D.	0.084	0.092	0.1	N.D.	N.D.	N.D.	0.12	N.D.	0.1	0.1	0.12	0.17	N.D.	0.089	0.13	0.13	N.D.	N.D.	N.D.	0.19	0.098	0.1	0.11	N.D.	N.D.	N.D.	0.033	N.D.	N.D.	0.036	N.D.	N.D.	N.D.	N.D.	0.029	N.D.	0.059	N.D.	N.D.	N.D.	0.045	0.046	0.077	0.059	N.D.	N.D.	0.073	N.D.
260	Gramine	Gramine	C08304				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0088	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
261	Hexylamine	Hexylamine	C08306				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.012	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.018	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
262	6-Methylaminopurine	6-Methylaminopurine	C08434				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0094	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
263	Proline betaine	Stachydrine	C10172				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.012	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
264	Pseudopelletierine	Pseudopelletierine	C10865				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.013	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
265	2-Guanidinobenzimidazole	2-Benzimidazolylguanidine	C10898				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.012	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
266	2-Aminobenzimidazole	2-Aminobenzimidazole	C10901				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
267	"2,4-Dimethylaniline"	"2,4-Xylidine"	C11003				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
268	Leu-Leu-Tyr	Leu-leu-tyr	C11331				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.011	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
269	5-Hydroxylysine	L-Hydroxylysine	C16741				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.017	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
270	Heptanoate	Heptanoic acid	C17714				0.037	0.018	0.019	0.023	0.032	0.023	0.039	0.028	0.031	0.031	0.035	0.038	0.043	0.039	0.043	0.048	0.046	0.043	0.026	0.046	0.047	0.05	0.037	0.053	0.052	0.04	0.034	0.04	0.047	0.049	0.035	0.039	0.045	0.051	0.057	0.05	0.045	0.055	0.056	0.05	0.036	0.03	0.055	0.042	0.048	0.053	0.051	0.06	0.057	0.039	0.048	0.059	0.049	0.052	0.05	0.06	0.054	0.047	0.05	0.054	0.061	0.07	0.063	0.07	0.08	0.058	0.063	0.081	0.078	0.084	0.079	0.1	0.895362015
271	Undecanoate	Undecanoic acid	C17715				0.018	N.D.	N.D.	N.D.	N.D.	N.D.	0.023	N.D.	0.02	N.D.	N.D.	0.014	0.023	N.D.	N.D.	0.022	0.027	N.D.	N.D.	N.D.	N.D.	N.D.	0.02	N.D.	0.016	0.014	0.035	0.026	0.024	0.032	0.032	0.035	0.024	0.026	0.025	0.023	0.027	N.D.	0.029	0.036	0.035	0.021	0.024	0.023	0.019	0.025	0.037	0.022	N.D.	N.D.	N.D.	0.027	N.D.	0.02	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.021	N.D.	-0.420128691
272	2-Hydroxypentanoate		-				0.019	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.037	0.032	N.D.	N.D.	N.D.	N.D.	0.018	N.D.	N.D.	0.019	N.D.	N.D.	N.D.	N.D.	0.023	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.420543538
273	4-Oxohexanoate		-				0.12	0.11	0.11	0.1	0.11	0.13	0.12	0.15	0.11	0.12	0.14	0.13	0.16	0.11	0.1	0.12	0.16	0.14	0.14	0.12	0.13	0.12	0.14	0.13	0.42	0.21	0.18	0.17	0.16	0.18	0.17	0.18	0.28	0.17	0.19	0.17	0.17	0.17	0.18	0.15	0.18	0.18	0.16	0.13	0.17	0.18	0.15	0.17	0.13	0.12	0.12	0.12	0.12	0.12	0.13	0.12	0.13	0.13	0.17	0.15	0.16	0.13	0.15	0.15	0.2	0.19	0.17	0.18	0.18	0.18	0.18	0.21	N.D.
274	4-Oxopentanoate		-				0.17	0.14	0.13	0.18	0.15	0.14	0.2	0.16	0.17	0.17	0.12	0.15	0.17	0.15	0.15	0.17	0.18	0.14	0.16	0.13	0.14	0.15	0.22	0.16	0.23	0.19	0.21	0.18	0.19	0.19	0.18	0.21	0.22	0.16	0.16	0.14	0.19	0.17	0.13	0.15	0.15	0.14	0.16	0.15	0.18	0.16	0.18	0.16	0.14	0.16	0.15	0.18	0.15	0.16	0.17	0.18	0.14	0.13	0.15	0.15	0.13	0.17	0.15	0.22	0.18	0.18	0.17	0.15	0.16	0.15	0.18	0.16	-0.65302452
275	Cysteine-glutathione disulphide -Divalent		-				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.079	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.062	N.D.	0.19	0.099	0.12	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.092	N.D.	N.D.	0.042	0.057	N.D.	N.D.	N.D.	0.03	N.D.	N.D.	N.D.	0.044	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
276	Ophthalmate		-				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.047	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.042	0.051	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.04	0.057	N.D.	N.D.	0.031	0.022	0.03	0.026	0.041	0.046	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.05	N.D.	N.D.	0.04	N.D.	0.046	0.043	0.042	0.075	N.D.	N.D.	0.029	N.D.	N.D.	N.D.	N.D.	0.041	N.D.
277	Phe-Phe		-				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.047	N.D.	N.D.	N.D.	0.041	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
